x,y
0,16
1,16
2,16
3,16
4,16
0,15
0,14
0,13
1,13
2,13
3,13
0,12
0,11
0,10
1,10
2,10
3,10
4,10
7,16
11,16
7,15
11,15
8,14
10,14
9,13
9,12
9,11
9,10
22,16
23,16
24,16
21,15
25,15
21,14
25,14
21,13
22,13
23,13
24,13
25,13
21,12
25,12
21,11
25,11
21,10
25,10
28,16
32,16
28,15
32,15
29,14
31,14
30,13
30,12
30,11
30,10
42,16
43,16
44,16
45,16
46,16
44,15
44,14
44,13
44,12
44,11
44,10
49,16
50,16
51,16
52,16
53,16
51,15
51,14
51,13
51,12
51,11
49,10
50,10
51,10
52,10
53,10
56,16
60,16
56,15
57,15
59,15
60,15
56,14
58,14
60,14
56,13
60,13
56,12
60,12
56,11
60,11
56,10
60,10
1,6
2,6
3,6
0,5
4,5
0,4
4,4
0,3
1,3
2,3
3,3
4,3
0,2
4,2
0,1
4,1
0,0
4,0
7,6
11,6
7,5
11,5
7,4
11,4
7,3
8,3
9,3
10,3
11,3
7,2
11,2
7,1
11,1
7,0
11,0
14,6
18,6
14,5
15,5
18,5
14,4
16,4
18,4
14,3
17,3
18,3
14,2
18,2
14,1
18,1
14,0
18,0
28,6
29,6
30,6
31,6
32,6
30,5
30,4
30,3
30,2
30,1
30,0
36,6
37,6
38,6
35,5
39,5
35,4
39,4
35,3
36,3
37,3
38,3
39,3
35,2
39,2
35,1
39,1
35,0
39,0
42,6
46,6
42,5
46,5
42,4
46,4
42,3
43,3
44,3
45,3
46,3
42,2
46,2
42,1
46,1
42,0
46,0
49,6
50,6
51,6
52,6
49,5
53,5
49,4
53,4
49,3
50,3
51,3
52,3
49,2
49,1
49,0
